Target frequency [Hz]	Digital Oscilloscope
25	25
50	50
100	99.95
200	200.02
1000	1000.001
2000	2000.001
8000	8000
20000	20000
35000	35000
70000	70000
100000	100000
150000	150000
200000	200000
250000	250000
300000	300000
